idPNMain,PNG,Name,PNstat,RAJ2000,DECJ2000,DRAJ2000,DDECJ2000,Glon,Glat,MajDiam,mainClass,subClass
4319,353.5-05.0,JaFu 2,T,17:50:10.8,-37:03:25.92,267.54501,-37.05720,353.52344,-5.00224,6.0,E,a;s;
4320,001.8-00.5,JaSt 81,T,17:52:04.3,-27:36:38.45,268.01798,-27.61068,1.86797,-0.53431,,S,
4323,066.1+02.0,KLW 4,T,19:49:58.8,30:14:53.88,297.49500,30.24830,66.17560,2.03126,13.7,E,r;
4325,070.9+02.4,KLSS 2-3,T,19:59:55.8,34:29:04.81,299.98258,34.48467,70.89168,2.41755,22.8,E,p;r;s;
4326,002.6+02.1,Terz N 1580,T,17:43:39.4,-25:36:42.52,265.91434,-25.61181,2.60724,2.10876,11.7,B,m;s;
4328,140.2+06.0,KnPa 1,T,03:35:57.7,63:16:41.88,53.99042,63.27830,140.23630,6.07666,36.0,B,a;p;s;
4329,150.0-00.3,Te 5,T,04:03:29.52,52:08:26.0,60.87300,52.14056,150.07352,-0.30836,24.9,B,p;
4330,147.2+08.3,Kn 33,T,04:32:38.1,60:20:12.12,68.15879,60.33670,147.21547,8.36502,17.0,R,a;s;
4331,165.4-05.2,Kn 37,T,04:44:37.76,37:39:15.2,71.15733,37.65422,165.49744,-5.26252,31.0,E,r;s;
4332,149.1+08.7,Kn 34,T,04:45:18.65,59:09:24.6,71.32771,59.15683,149.17553,8.79330,60.0,R,a;r;s;
4333,154.8+05.9,Kn 36,T,04:55:24.5,52:59:15.00,73.85208,52.98750,154.89423,5.98692,59.0,E,a;r;
4334,189.1-07.6,Pa 9,T,05:37:58.0,17:06:18.00,84.49171,17.10500,189.18318,-7.69665,53.0,R,r;
4337,198.6-06.7,Kn 40,T,06:00:47.2,09:28:40.01,90.19671,9.47778,198.64082,-6.73911,37.0,R,m;r;s;
4338,188.6+04.4,HoCr 1,T,06:21:41.0,23:35:12.84,95.42079,23.58690,188.63669,4.40816,73.0,B,a;m;p;s;
4339,204.8+02.7,Ri 1,T,06:46:24.7,08:29:02.00,101.60300,8.48389,204.80576,2.74952,70.0,E,a;r;s;
4340,197.2+09.9,Kn 39,T,06:59:23.8,18:26:48.84,104.84900,18.44690,197.22549,9.99689,111.0,E,m;r;s;
4341,012.4+17.8,Pa 12,T,17:09:38.63,-09:00:41.5,257.41096,-9.01153,12.46128,17.83551,17.0,E,a;r;s;
4342,040.9+08.3,Kn 1,T,18:35:51.42,10:57:19.4,278.96425,10.95539,40.99301,8.39602,57.0,E,a;r;
4343,035.2+05.2,Pa 10,T,18:37:10.63,04:28:18.6,279.29429,4.47183,35.29851,5.20545,27.0,E,a;r;
4344,046.9+06.0,Kn 3,T,18:55:21.80,15:11:45.2,283.84083,15.19589,46.94562,6.01637,29.0,R,a;s;
4345,051.5+05.1,Kn 4,T,19:07:15.83,18:52:40.4,286.81596,18.87789,51.53473,5.13080,6.6,R,m;s;
4347,064.5+03.4,Kn 15,T,19:40:40.3,29:30:10.51,295.16800,29.50292,64.52054,3.40738,26.3,E,m;r;s;
4348,065.2+02.2,Pa 1,T,19:47:02.66,29:30:25.0,296.76108,29.50694,65.21373,2.20614,12.0,E,a;s;
4349,063.9-01.2,Te 1,T,19:57:22.29,26:39:08.2,299.34288,26.65228,63.92762,-1.21180,146.0,B,a;m;p;s;
4350,060.3-05.0,Kn 12,T,20:03:22.6,21:35:52.08,300.84399,21.59780,60.33653,-5.02884,54.0,B,
4351,052.4-09.9,Kn 5,T,20:03:44.26,12:22:25.6,300.93442,12.37378,52.43620,-9.90423,47.0,R,a;r;
4352,060.5-05.8,Kn 13,T,20:06:49.0,21:21:25.92,301.70401,21.35720,60.55730,-5.83509,50.0,R,a;r;s;
4353,059.1-07.1,Kn 10,T,20:08:32.6,19:28:31.08,302.13599,19.47530,59.17042,-7.17926,65.0,B,a;m;p;
4354,077.6+04.3,Pa 6,T,20:09:41.0,41:14:42.79,302.42080,41.24522,77.64943,4.39152,46.3,R,a;r;s;
